"Qty";"Value";"Device";"Package";"Parts";"Description";"CAP";"DATASHEETURL";"DCR";"DNP";"ESR";"IDC";"IO";"IRMS";"L";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_FARNELL_ALTERNATIV";"OC_FARNELL_ALTERNATIVE";"OC_NEWARK";"PARTNO";"TP_SIGNAL_NAME";"VDC";"VENDOR";"VFATIO";"VRRM";
"1";"''";"JP1E";"JP1";"JP2";"JUMPER";"";"";"";"";"";"";"";"";"";"";"TE CONNECTIVITY / AMP";"825433-2";"3417645";"";"";"";"";"";"";"";"";"";
"1";"''";"PINHD-2X10";"2X10";"JP3";"PIN HEADER";"";"";"";"T";"";"";"";"";"";"";"TE CONNECTIVITY / AMP";"5103308-5";"2452432";"9689621";"";"";"";"";"";"";"";"";
"1";"''";"PINHD-2X20";"2X20";"JP1";"PIN HEADER";"";"";"";"T";"";"";"";"";"";"";"HARWIN";"M20-6112045";"1569232";"";"1569230";"";"";"";"";"";"";"";
"1";"0.01uF";"GRM216R71H103KA01D";"GRM216R71H103KA01D";"C5";"";"1.0E-8";"";"";"";"0.0";"";"";"0.0";"";"GRM216R71H103KA01D";"MURATA";"GRM216R71H103KA01D";"1828948";"";"";"";"";"";"50.0";"MuRata";"";"";
"1";"0.1uF";"08053C104KAT2A";"0805";"C4";"";"1.0E-7";"";"";"";"0.28";"";"";"0.0";"";"08053C104KAT2A";"AVX";"08053C104KAT2A";"1740665";"";"";"";"";"";"25.0";"AVX";"";"";
"5";"0.1uF";"C-EUC0603";"C0603";"C7, C8, C9, C10, C11";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"KEMET";"C0603C104K8RACTU";"2112833";"";"";"";"SMD TAN.0,1/35";"";"";"";"";"";
"1";"01110005MR";"01110005MR";"01110005MR";"F1";"Fuse Holder";"";"";"";"";"";"";"";"";"";"";"LITTELFUSE";"01110005MR";"1155771";"";"01110005MR";"";"";"";"";"";"";"";
"1";"100n";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"KEMET";"C0603C104K8RACTU";"2112833";"";"";"";"ECHU-16-100N";"";"";"";"";"";
"2";"10k";"R-EU_R1210";"R1210";"R8, R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"PANASONIC ELECTRONIC COMPONENTS";"ERJP14F1002U";"1750931";"";"";"";"";"";"";"";"";"";
"1";"120R";"R-EU_R1206";"R1206";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"TE CONNECTIVITY";"CRGH1206F120R";"2332128";"";"";"";"";"";"";"";"";"";
